Date,Predicted_Price,Std_unscaled_approx,CI95_lower,CI95_upper
2026-07-26,41194.43924941709,2667.893260398577,35965.46454443874,46423.41395439544
2026-07-27,38845.26686430772,2387.3676441531256,34166.11226391136,43524.42146470408
2026-07-28,46002.40684238045,2514.080007300593,41074.90057381909,50929.91311094181
2026-07-29,39122.63809953132,2480.795976336827,34260.36733291926,43984.908866143385
2026-07-30,44335.94042090795,2589.458167672161,39260.69567279743,49411.18516901847
2026-07-31,42507.009059707554,2447.67913218564,37709.64611491345,47304.37200450166
2026-08-01,40348.44441988205,2268.194159279469,35902.865557750185,44794.02328201391
2026-08-02,37907.812535136,2333.5787510212785,33334.08222804633,42481.54284222567
2026-08-03,39569.22455750116,2332.4733321375606,34997.660831611414,44140.78828339091
2026-08-04,40290.57376694478,2230.8733981075834,35918.14225258543,44663.005281304126
2026-08-05,40409.729009058494,2577.5468000390024,35357.830112515585,45461.6279056014
2026-08-06,41081.31381676475,2663.05361783226,35861.824636914425,46300.80299661507
2026-08-07,41701.92604399966,2364.5835915981015,37067.42736603301,46336.42472196631
2026-08-08,41604.348061233046,2408.238747045998,36884.28685084902,46324.40927161707
2026-08-09,40065.40176460746,2492.5761808352563,35180.042221447955,44950.76130776696
2026-08-10,39253.31722382032,2633.184677712719,34092.37009086068,44414.26435677996
2026-08-11,42983.478543978665,2570.8593275358758,37944.68685268948,48022.270235267846
2026-08-12,42383.50141836252,2336.9901471293133,37803.0848977641,46963.917938960934
2026-08-13,39183.53104667167,2610.2826245206406,34067.47111314053,44299.59098020281
2026-08-14,37657.5458845991,2316.239123162602,33117.80062361777,42197.291145580435
2026-08-15,39900.04015170694,2453.736421247432,35090.80513850777,44709.27516490611
2026-08-16,38669.60802164686,2574.1324019578133,33624.40122237197,43714.814820921754
2026-08-17,39622.244021821534,2390.5303383314,34936.89065474164,44307.59738890143
2026-08-18,40080.2693830343,2263.8699324115983,35643.165849824436,44517.37291624416
2026-08-19,42347.61814048939,2557.0340865565186,37335.923423597334,47359.31285738144
2026-08-20,37923.23805872747,2436.034016479142,33148.6991213139,42697.77699614104
2026-08-21,41120.90291503602,2352.478943078026,36510.12891221424,45731.6769178578
2026-08-22,41923.351583840755,2531.6457068298696,36961.41717683876,46885.28599084275
2026-08-23,38747.03121849936,2259.313860847831,34318.85742146547,43175.20501553325
2026-08-24,41733.77097521759,2646.4559391846524,36546.81264774354,46920.72930269163
